  000  [003101E00 007F 00]:16  
  001  [001101E0D 007F 10]:16  
  002  [003000000 017F 01]:16  
  003  [000200627 0180 00]:16  
  004  [000000000 0181 10]:16  
  005  [01300002D 0007 10]:16  
  006  [015000030 008B 00]:16  
  007  [004000000 008C 00]:16  
  008  [016000070 0000 07]:16  
  009  [060010000 00D4 14]:16  
  00A  [000000000 0000 07]:16  
  00B  [01400002C 010B 10]:16  
  00C  [000000000 0122 10]:16  
  00D  [4106110B0 0072 44]:16  
  00E  [00000000D 0121 06]:16  
  00F  [3031112E0 0140 50]:16  
  010  [303110000 0083 10]:16  
  011  [604010000 0004 00]:16  
  012  [602010000 0004 00]:16  
  013  [601010000 0004 00]:16  
  014  [006000340 0000 07]:16  
  015  [00600034C 0000 07]:16  
  016  [00600034C 0000 07]:16  
  017  [6106110F0 0084 04]:16  
  018  [515611010 11B9 11]:16  
  019  [004100660 0181 00]:16  
  01A  [000000000 11B9 11]:16  
  01B  [004100660 0181 00]:16  
  01C  [616210323 0007 10]:16  
  01D  [606310314 0007 10]:16  
  01E  [3031115F0 0007 33]:16  
  01F  [60631030D 010B 10]:16  
  020  [0150000A7 008E 10]:16  
  021  [0000005E0 0145 21]:16  
  022  [000000000 0000 07]:16  
  023  [000000000 0000 07]:16  
  024  [005000000 0090 00]:16  
  025  [0150000AD 0090 00]:16  
  026  [0160000F0 0091 00]:16  
  027  [605010000 0183 00]:16  
  028  [000000000 000B 62]:16  
  029  [0000005B0 0148 60]:16  
  02A  [004100630 0184 00]:16  
  02B  [016000030 014E 21]:16  
  02C  [0000005C0 0147 00]:16  
  02D  [0000005D0 0147 00]:16  
  02E  [000000000 0148 21]:16  
  02F  [000000000 0148 21]:16  
  030  [6020105E0 000D 22]:16  
  031  [602010000 0149 20]:16  
  032  [60001000F 000F 22]:16  
  033  [60201000D 000E 22]:16  
  034  [6466112E0 000D 10]:16  
  035  [003000000 00C1 00]:16  
  036  [013000010 0029 01]:16  
  037  [0041005E0 000D 00]:16  
  038  [012000073 018D 01]:16  
  039  [012000073 018D 01]:16  
  03A  [003000004 002B 00]:16  
  03B  [616010010 0149 01]:16  
  03C  [6100100E0 0149 51]:16  
  03D  [6100100D0 014A 50]:16  
  03E  [01200008D 018D 01]:16  
  03F  [01200008D 018D 01]:16  
  040  [000000630 0097 02]:16  
  041  [00300000D 0012 22]:16  
  042  [00300000D 0013 22]:16  
  043  [003200630 0014 22]:16  
  044  [000000630 019C 01]:16  
  045  [003000000 0015 22]:16  
  046  [003000000 0016 22]:16  
  047  [003000000 0017 22]:16  
  048  [003100000 0012 01]:16  
  049  [0040005E0 019D 01]:16  
  04A  [00610000D 01A6 11]:16  
  04B  [0060002E0 0012 10]:16  
  04C  [00610000D 01A6 11]:16  
  04D  [0120000C1 0108 00]:16  
  04E  [0120000A0 0036 01]:16  
  04F  [0120000C0 00E6 00]:16  
  050  [0120000C0 00D0 00]:16  
  051  [01000001F 0013 10]:16  
  052  [640510623 0124 14]:15  [640500623 0124 14]:01  000010000
  053  [0120000C0 00CF 10]:16  
  054  [003100003 0012 01]:16  
  055  [000000000 0000 00]:16  
  056  [012000090 00F2 10]:16  
  057  [012000090 00F2 10]:16  
  058  [0120000BD 01A7 01]:16  
  059  [0120000CD 0108 00]:16  
  05A  [0120000AD 0036 01]:16  
  05B  [0000005E0 01A1 11]:16  
  05C  [0120000E0 00D2 10]:16  
  05D  [0060002E0 0096 11]:16  
  05E  [006000300 00D2 00]:16  
  05F  [0011016BD 00B1 00]:16  
  060  [004000000 0019 22]:16  
  061  [616610050 018C 11]:15  [616600050 018C 11]:01  000010000
  062  [00300068D 001A 22]:16  
  063  [00410063D 001B 22]:16  
  064  [616510030 018C 10]:16  
  065  [003000681 001A 10]:16  
  066  [000000680 0187 01]:16  
  067  [002000670 01BD 11]:16  
  068  [003000000 000F 10]:16  
  069  [014000020 010B 10]:16  
  06A  [602010670 0186 10]:16  
  06B  [60501067B 0189 01]:16  
  06C  [00100068D 009A 00]:16  
  06D  [003000000 000E 00]:16  
  06E  [6405006D0 0098 14]:16  
  06F  [6405106D4 0098 14]:16  
  070  [002010000 0189 00]:16  
  071  [605010000 001C 00]:16  
  072  [605010400 0188 11]:16  
  073  [605010401 0188 11]:16  
  074  [0041006D0 001E 33]:16  
  075  [0041006D0 001F 33]:16  
  076  [004000002 018B 01]:16  
  077  [00400000D 018B 01]:16  
  078  [000000000 009D 02]:16  
  079  [000000000 009F 00]:16  
  07A  [000000000 009D 12]:16  
  07B  [0120000E0 00A4 10]:16  
  07C  [000000000 0020 22]:16  
  07D  [0000003D0 001A 01]:16  
  07E  [000000000 009D 12]:16  
  07F  [0000006B0 00A2 10]:16  
  080  [616510030 018A 10]:16  
  081  [0120000E0 00A5 10]:16  
  082  [0060003F0 001A 01]:16  
  083  [000000000 009E 00]:16  
  084  [003100000 0021 01]:16  
  085  [0040005A7 019D 01]:16  
  086  [0040005A3 019D 01]:16  
  087  [60001000F 00A0 00]:16  
