// Capacitors
300-1150	150pF
300-1330	330pF
300-1331	330pF 5%
300-1560	560pF cer
300-1680	680pF
300-1900	0.05uF 12V cer
300-1901	0.1uF
300-1902	0.22uF
300-2015	0.0015uF
300-2122	0.022uF
300-2347	0.47 400VDC
300-2410	0.1uF 600VDC
// Electrolytic?
300-3006	10uF 15VDC
300-3011	100uF 15VDC
300-3018	30/350 + 3000/20
300-3019	6000/20
300-3021	500/25
300-3045	14000/12
300-3047	10uF 25VDC
// Tantalum?
300-4000	1.0uF 35VDC
300-4014	2.2uF Tant 20VDC
300-4016	3.3uF Tant 15VDC
// Resistors
// 33W-M0XY = X.Y * 10^M ohms, W=0: 1/4W, 1: 1/2W, 2: 1W, ...
330-2022	220 1/4W
330-2047	470 1/4W
330-2056	560
330-3010	1K 1/4W
330-4010	10K 1/4W
330-4022	22K 1/4W
330-5022	220K 1/4 W
331-5027	270K 1/2W
332-1082	82 1W
332-2082	820 1W
332-3056	5.6K 1W
//
340-0010	Nixie Sign
340-0011	Nixie Digit
340-0100	BR-16400 PanaPlex display
// Transistors
375-0007	2N1540 Ge
375-0017	2N3014
375-0017	GT545
375-0022	MC830
375-1001	RCA35224
375-1003	2N3640 PNP
375-1005	38360 Si NPN
375-1006	Nix Dr. Si NPN
375-1008	40251
375-1011	GT544
375-1016	GT545
375-1017	GT644 GT544
375-1018	2N4037
375-1018	GT544
375-1019	GT545
375-1020	2N4037
375-1020	GT545
375-1021	2N5189
375-1022	40250 NPN
375-1024	2N4234
375-1027	2N3725
375-1028	40250 VI
375-1029	2N6246
375-1031	2N4831
375-1032	2N5954
375-1034	2N6111 PNP
375-2100	GS563
375-3000	MCR406-2 thyr
375-3001	40526 T2300B
375-3002	2N6070B
// Integrated Circuits
376-0000	LM709
376-0001	SN7525N
376-0002	SN7400N
376-0003	SN7410N
376-0004	SN7420N
376-0005	SN7473N
376-0006	SN7474N
376-0007	SN7476N
376-0008	SN7442N
376-0009	SN7440N
376-0010	SN7404N
376-0011	SN7493N
376-0012	SN7450N typo?
376-0012	SN7451N
376-0013	SN7475N
376-0015	SN7401N
376-0016	SN7402N
376-0018	SN7483N
376-0019	SN7450N
376-0021	9093?
376-0022	F9930 MC830P
376-0023	F9946 MC846
376-0024	F9944 MC844
376-0024	MC884 typo?
376-0025	F9935? MC840 (hex inv)
376-0026	F9936 MC836
376-0028	SN7403N
376-0029	SN7405N
376-0031	SN7430N
376-0032	SN7445N
376-0033	F9963
376-0034	MC862
376-0036	SN7486N
376-0037	SN74H00N
376-0040	MS8242 XOR
376-0041	B266 (2w4i mux)
376-0041	N8266B
376-0045	SN74H04N
376-0046	F9932
376-0047	SN74151N
376-0048	SN74153N
376-0049	SN74155
376-0051	SN74121N
376-0053	SN74193N
376-0055	SN7406N
376-0056	SN7407N
376-0056	SN7474N typo?
376-0057	SN7453N
376-0059	SN7495N
376-0061	SP380A
376-0062	MC1800P (5-in NAND)
376-0063	SN74141N
376-0064	SN7494N
376-0065	SN7496N
376-0066	723C
376-0067	SN7426N
376-0068	SN7437N
376-0069	SN74145N
376-0071	8570 (B570?)
376-0072	8590 (B590?)
376-0073	SN7490N
376-0074	F741C
376-0075	9949
376-0076	9914? SN75150N?
376-0077	SN75154N
376-0078	8T09
376-0079	MC1804P
376-0080	SN74123N
376-0081	SN7408N
376-0082	SN74157N
376-0083	SN74197N
376-0084	9307
376-0085	SN7409N
376-0086	9601
376-0087	SN7485N
376-0088	N5733A
376-0089	SN75108A
376-0092	SN7425N
376-0093	SN7432N
376-0094	SN74161N 9316
376-0095	SN74170N
376-0096	9321
376-0097	SN74195N
376-0098	SN74174N
376-0099	SN74181N
376-0100	9338
376-0101	SN74L38 typo?
376-0101	SN74L98
376-0102	SN74164N
376-0103	MC1802
376-0104	F9602
376-0105	SN74165N
376-0106	FPQ3725 (trans?)
376-0107	FPQ3468 (trans?)
376-0108	9314
376-0112	NE566V NE5566E
376-0116	8551
376-0128	SN7438N
376-0135	93L41 74L181
376-0136	93L38
376-0138	SN74298N
376-0139	SN7414N
376-0140	93L00
376-0141	93L16
376-0142	93L22
376-0144	3341? 8341?
376-0163	8T380
377-0000	i1101 RAM
377-0005	MK4008P DRAM
377-0009	i1702 EPROM
